Class,Start (s),End (s),Duration (s)
Ancistrus,0.0,50.2,50.2
Ancistrus,112.1,112.1,0.0
Ancistrus,132.9,133.0,0.1
Ancistrus,203.7,245.3,41.6
Botia_Almorhae,0.0,47.6,47.6
Botia_Almorhae,59.2,308.7,249.5
Botia_Striata,10.8,140.1,129.3
Botia_Striata,151.3,169.2,17.9
Botia_Striata,179.6,201.7,22.1
Botia_Striata,216.6,223.2,6.6
Botia_Striata,259.0,272.4,13.4
Botia_Striata,286.3,287.6,1.3
Botia_Striata,299.4,307.5,8.1
Corydoras_Albinos,19.7,39.4,19.7
Corydoras_Albinos,58.5,298.8,240.3
Corydoras_Panda,5.0,55.8,50.8
Corydoras_Panda,66.9,209.4,142.5
Corydoras_Panda,219.5,219.7,0.2
Corydoras_Panda,250.6,256.6,6.0
Corydoras_Panda,279.8,279.8,0.0
Corydoras_Panda,304.1,308.8,4.7
G_Matriarche,0.0,308.8,308.8
Pterophyllum_Scalare_B,0.0,182.9,182.9
Pterophyllum_Scalare_B,203.4,308.8,105.4
Pterophyllum_Scalare_BB,0.0,308.8,308.8
Pterophyllum_Scalare_W,0.0,70.1,70.1
Pterophyllum_Scalare_W,81.4,279.5,198.1
Pterophyllum_Scalare_W,307.6,307.8,0.2
Pterophyllum_Scalare_Y,0.0,308.8,308.8
Pterophyllum_Scalare_YWB,0.0,308.8,308.8
