Class,Timestamp,x1,y1,x2,y2
Pterophyllum_Scalare_Y,0.0,1002,181,1068,244
Pterophyllum_Scalare_W,0.0,757,312,819,388
Botia_Almorhae,0.0,258,200,386,264
Pterophyllum_Scalare_YWB,0.0,955,223,1041,340
Pterophyllum_Scalare_BB,0.0,442,139,539,259
G_Matriarche,0.0,859,269,929,316
Pterophyllum_Scalare_B,0.0,830,488,915,594
Ancistrus,0.0,548,659,668,707
Botia_Almorhae,0.1,252,197,376,269
G_Matriarche,0.1,840,255,910,301
Pterophyllum_Scalare_BB,0.1,436,140,533,260
Pterophyllum_Scalare_B,0.1,831,488,914,594
Pterophyllum_Scalare_Y,0.1,1002,178,1070,241
Pterophyllum_Scalare_YWB,0.1,956,233,1046,344
Pterophyllum_Scalare_W,0.1,755,313,816,389
Pterophyllum_Scalare_W,0.2,752,316,811,391
Pterophyllum_Scalare_Y,0.2,1002,175,1072,235
Pterophyllum_Scalare_YWB,0.2,958,239,1049,351
G_Matriarche,0.2,827,245,895,288
Botia_Almorhae,0.2,248,197,362,275
Pterophyllum_Scalare_B,0.2,830,489,914,594
Pterophyllum_Scalare_BB,0.2,428,143,525,261
G_Matriarche,0.3,816,236,885,280
Pterophyllum_Scalare_W,0.3,751,316,808,393
Pterophyllum_Scalare_YWB,0.3,966,243,1055,356
Ancistrus,0.3,545,665,658,709
Pterophyllum_Scalare_Y,0.3,1003,170,1076,235
Botia_Almorhae,0.3,240,195,354,284
Pterophyllum_Scalare_BB,0.3,419,144,515,262
Pterophyllum_Scalare_B,0.3,830,488,914,594
Pterophyllum_Scalare_Y,0.4,1005,169,1077,234
Ancistrus,0.4,547,663,657,708
Pterophyllum_Scalare_BB,0.4,414,148,508,263
Pterophyllum_Scalare_B,0.4,830,488,916,594
Pterophyllum_Scalare_YWB,0.4,970,249,1055,362
G_Matriarche,0.4,812,228,866,272
Botia_Almorhae,0.4,232,194,349,286
Pterophyllum_Scalare_W,0.4,749,318,803,393
Botia_Almorhae,0.5,225,193,333,287
G_Matriarche,0.5,800,218,858,260
Pterophyllum_Scalare_Y,0.5,1008,166,1081,231
Pterophyllum_Scalare_BB,0.5,407,151,502,264
Pterophyllum_Scalare_W,0.5,745,321,799,396
Ancistrus,0.5,541,664,657,708
Pterophyllum_Scalare_YWB,0.5,972,254,1057,369
Pterophyllum_Scalare_B,0.5,830,487,917,594
Pterophyllum_Scalare_Y,0.6,1010,162,1084,229
Pterophyllum_Scalare_BB,0.6,399,154,491,265
Pterophyllum_Scalare_YWB,0.6,975,261,1056,375
Pterophyllum_Scalare_B,0.6,830,487,917,594
G_Matriarche,0.6,794,211,845,247
Ancistrus,0.6,539,665,656,707
Pterophyllum_Scalare_W,0.6,741,324,794,395
Botia_Almorhae,0.6,222,192,329,289
Pterophyllum_Scalare_BB,0.7,391,156,482,268
Pterophyllum_Scalare_Y,0.7,1013,160,1087,226
G_Matriarche,0.7,788,204,847,240
Pterophyllum_Scalare_B,0.7,830,488,916,594
Pterophyllum_Scalare_YWB,0.7,974,268,1053,381
Botia_Almorhae,0.7,216,190,297,245
Botia_Almorhae,0.7,215,189,300,290
Ancistrus,0.7,539,666,662,708
Pterophyllum_Scalare_W,0.7,733,326,791,397
Pterophyllum_Scalare_W,0.8,729,327,787,398
Pterophyllum_Scalare_B,0.8,823,494,910,595
G_Matriarche,0.8,773,199,830,232
Pterophyllum_Scalare_YWB,0.8,972,276,1052,385
Pterophyllum_Scalare_BB,0.8,385,159,476,268
Pterophyllum_Scalare_Y,0.8,1017,158,1090,223
Ancistrus,0.8,539,665,661,707
Botia_Almorhae,0.9,195,182,283,288
Pterophyllum_Scalare_YWB,0.9,976,281,1048,392
Pterophyllum_Scalare_BB,0.9,374,163,464,269
Pterophyllum_Scalare_B,0.9,817,497,904,597
Pterophyllum_Scalare_W,0.9,746,329,783,399
G_Matriarche,0.9,758,195,828,226
Ancistrus,0.9,539,667,669,708
Pterophyllum_Scalare_Y,0.9,1019,156,1093,223
Ancistrus,1.0,540,667,670,709
Pterophyllum_Scalare_W,1.0,743,331,780,400
Pterophyllum_Scalare_BB,1.0,364,167,454,270
Pterophyllum_Scalare_W,1.0,722,331,780,400
G_Matriarche,1.0,747,189,803,221
Pterophyllum_Scalare_B,1.0,814,498,901,600
Botia_Almorhae,1.0,182,177,278,278
Pterophyllum_Scalare_YWB,1.0,981,291,1047,396
Pterophyllum_Scalare_Y,1.0,1022,154,1096,221
Pterophyllum_Scalare_Y,1.1,1025,152,1100,221
Pterophyllum_Scalare_B,1.1,810,498,896,600
Pterophyllum_Scalare_BB,1.1,356,170,449,270
Botia_Almorhae,1.1,167,171,260,249
Pterophyllum_Scalare_W,1.1,720,331,779,402
G_Matriarche,1.1,743,182,791,218
Ancistrus,1.1,544,668,671,710
G_Matriarche,1.2,729,177,773,209
Botia_Almorhae,1.2,154,168,263,260
Pterophyllum_Scalare_Y,1.2,1029,151,1104,219
Pterophyllum_Scalare_BB,1.2,346,173,436,270
Pterophyllum_Scalare_W,1.2,718,331,778,403
Pterophyllum_Scalare_B,1.2,807,498,893,602
Pterophyllum_Scalare_YWB,1.2,998,295,1051,409
Pterophyllum_Scalare_Y,1.3,1032,150,1106,220
Pterophyllum_Scalare_BB,1.3,338,174,427,270
Pterophyllum_Scalare_W,1.3,716,332,777,405
Pterophyllum_Scalare_YWB,1.3,1001,302,1051,414
G_Matriarche,1.3,717,172,771,204
Botia_Almorhae,1.3,144,162,247,256
Pterophyllum_Scalare_B,1.3,804,499,891,604
Pterophyllum_Scalare_YWB,1.4,996,311,1052,424
Pterophyllum_Scalare_BB,1.4,330,175,417,270
Pterophyllum_Scalare_B,1.4,803,500,890,604
Pterophyllum_Scalare_W,1.4,713,333,775,405
G_Matriarche,1.4,705,167,760,199
Pterophyllum_Scalare_Y,1.4,1034,149,1108,217
Botia_Almorhae,1.4,142,161,242,254
Ancistrus,1.5,539,671,669,713
Pterophyllum_Scalare_W,1.5,710,336,768,405
Pterophyllum_Scalare_Y,1.5,1037,149,1110,216
Pterophyllum_Scalare_B,1.5,801,500,887,605
Pterophyllum_Scalare_BB,1.5,324,175,408,270
Botia_Almorhae,1.5,134,162,229,255
Pterophyllum_Scalare_YWB,1.5,993,330,1049,430
G_Matriarche,1.5,686,162,753,196
Pterophyllum_Scalare_BB,1.6,317,174,402,270
Pterophyllum_Scalare_W,1.6,708,338,764,406
Botia_Almorhae,1.6,132,165,216,246
G_Matriarche,1.6,672,157,752,191
Pterophyllum_Scalare_YWB,1.6,987,327,1049,435
Pterophyllum_Scalare_B,1.6,800,500,886,605
Pterophyllum_Scalare_Y,1.6,1039,148,1113,215
Pterophyllum_Scalare_Y,1.6,998,517,1021,570
G_Matriarche,1.7,648,153,742,190
Pterophyllum_Scalare_W,1.7,706,340,762,407
Pterophyllum_Scalare_Y,1.7,997,516,1021,570
Pterophyllum_Scalare_YWB,1.7,982,336,1047,439
Pterophyllum_Scalare_BB,1.7,312,173,395,270
Pterophyllum_Scalare_B,1.7,799,502,883,608
Pterophyllum_Scalare_Y,1.7,1042,146,1114,215
Pterophyllum_Scalare_B,1.8,793,506,878,612
Pterophyllum_Scalare_YWB,1.8,975,337,1049,441
Pterophyllum_Scalare_Y,1.8,1045,145,1120,216
Pterophyllum_Scalare_BB,1.8,306,172,390,272
Pterophyllum_Scalare_W,1.8,703,344,752,412
G_Matriarche,1.8,633,155,721,189
Botia_Almorhae,1.9,74,174,168,239
Pterophyllum_Scalare_BB,1.9,300,172,384,272
Pterophyllum_Scalare_Y,1.9,1048,145,1122,216
Pterophyllum_Scalare_B,1.9,789,512,869,614
Pterophyllum_Scalare_W,1.9,700,346,749,414
Pterophyllum_Scalare_YWB,1.9,970,342,1047,445
Pterophyllum_Scalare_Y,1.9,991,516,1017,571
Ancistrus,1.9,543,670,678,711
G_Matriarche,1.9,617,155,707,188
Pterophyllum_Scalare_B,2.0,784,519,860,616
Pterophyllum_Scalare_Y,2.0,1052,144,1123,216
Pterophyllum_Scalare_BB,2.0,295,170,379,273
G_Matriarche,2.0,599,152,694,188
Pterophyllum_Scalare_YWB,2.0,965,349,1043,448
Pterophyllum_Scalare_W,2.0,699,348,747,416
Pterophyllum_Scalare_Y,2.0,992,518,1017,570
Ancistrus,2.0,543,670,681,713
Pterophyllum_Scalare_W,2.1,697,351,745,418
Pterophyllum_Scalare_BB,2.1,290,169,375,274
Pterophyllum_Scalare_Y,2.1,1054,143,1125,216
Pterophyllum_Scalare_B,2.1,776,526,846,620
Pterophyllum_Scalare_YWB,2.1,960,352,1040,453
G_Matriarche,2.1,588,149,680,187
Pterophyllum_Scalare_BB,2.2,285,169,370,275
G_Matriarche,2.2,578,149,669,187
Pterophyllum_Scalare_YWB,2.2,955,357,1035,456
Pterophyllum_Scalare_B,2.2,769,526,835,619
Pterophyllum_Scalare_W,2.2,696,353,745,420
Pterophyllum_Scalare_Y,2.2,1058,143,1126,215
Pterophyllum_Scalare_YWB,2.3,951,360,1031,460
Pterophyllum_Scalare_Y,2.3,1060,144,1129,215
Pterophyllum_Scalare_BB,2.3,280,170,366,276
Pterophyllum_Scalare_W,2.3,695,354,745,423
G_Matriarche,2.3,570,150,658,186
Pterophyllum_Scalare_B,2.3,765,525,830,619
Pterophyllum_Scalare_BB,2.3,66,235,117,288
Pterophyllum_Scalare_YWB,2.4,944,361,1025,459
Pterophyllum_Scalare_Y,2.4,1063,144,1131,213
Pterophyllum_Scalare_BB,2.4,274,170,360,277
