PairKey,FramesTogether,TimeTogether_s,Class1,Class2
Pterophyllum_Scalare_Y_Pterophyllum_Scalare_YWB,2781,278.1,Pterophyllum_Scalare_Y,Pterophyllum_Scalare_YWB
Pterophyllum_Scalare_W_Pterophyllum_Scalare_YWB,2227,222.7,Pterophyllum_Scalare_W,Pterophyllum_Scalare_YWB
Pterophyllum_Scalare_B_Pterophyllum_Scalare_W,5192,519.2,Pterophyllum_Scalare_B,Pterophyllum_Scalare_W
Pterophyllum_Scalare_B_Pterophyllum_Scalare_YWB,2822,282.2,Pterophyllum_Scalare_B,Pterophyllum_Scalare_YWB
Pterophyllum_Scalare_B_Pterophyllum_Scalare_Y,9400,940.0,Pterophyllum_Scalare_B,Pterophyllum_Scalare_Y
Pterophyllum_Scalare_W_Pterophyllum_Scalare_Y,11498,1149.8,Pterophyllum_Scalare_W,Pterophyllum_Scalare_Y
Pterophyllum_Scalare_B_Pterophyllum_Scalare_BB,994,99.4,Pterophyllum_Scalare_B,Pterophyllum_Scalare_BB
Pterophyllum_Scalare_BB_Pterophyllum_Scalare_YWB,19935,1993.5,Pterophyllum_Scalare_BB,Pterophyllum_Scalare_YWB
Pterophyllum_Scalare_BB_Pterophyllum_Scalare_Y,1952,195.2,Pterophyllum_Scalare_BB,Pterophyllum_Scalare_Y
Pterophyllum_Scalare_BB_Pterophyllum_Scalare_W,2368,236.8,Pterophyllum_Scalare_BB,Pterophyllum_Scalare_W
