epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0648,1.35041,1.7408,1.21591,0.86187,0.78586,0.85669,0.57556,1.09988,0.76157,1.13962,0.000220851,0.000220851,0.000220851
2,72.5515,1.11285,0.78311,1.10275,0.88945,0.84088,0.90711,0.62471,1.06005,0.64633,1.1102,0.000441722,0.000441722,0.000441722
3,107.638,1.07648,0.70422,1.07763,0.89772,0.87158,0.92694,0.64321,1.01117,0.61244,1.08934,0.000661125,0.000661125,0.000661125
4,143.088,1.02663,0.64828,1.05719,0.908,0.85109,0.91245,0.61392,1.10325,0.60126,1.13428,0.000660397,0.000660397,0.000660397
5,177.904,0.98003,0.59465,1.04574,0.92055,0.89573,0.94253,0.67902,0.95667,0.51749,1.06011,0.000658196,0.000658196,0.000658196
6,212.956,0.96693,0.57249,1.02724,0.91579,0.89659,0.94784,0.68456,0.94229,0.50653,1.0575,0.000655994,0.000655994,0.000655994
7,248.184,0.93969,0.54952,1.02248,0.91309,0.87409,0.93226,0.6459,1.02404,0.52921,1.0889,0.000653793,0.000653793,0.000653793
8,283.276,0.94349,0.54197,1.01288,0.91908,0.88282,0.93784,0.68708,0.92135,0.48924,1.04643,0.000651592,0.000651592,0.000651592
9,318.195,0.91671,0.52289,1.00222,0.91732,0.91329,0.95026,0.67355,1.00512,0.5061,1.08901,0.000649391,0.000649391,0.000649391
10,353.13,0.89957,0.50988,0.99474,0.9209,0.90087,0.94765,0.69753,0.90796,0.47187,1.04283,0.00064719,0.00064719,0.00064719
10,34.4592,0.92022,0.59211,1.0102,0.91458,0.90544,0.94782,0.68098,0.95821,0.48467,1.0645,0.00064719,0.00064719,0.00064719
11,69.4737,0.86788,0.49145,0.99631,0.90825,0.86873,0.92977,0.66989,0.95419,0.51251,1.06352,0.000644989,0.000644989,0.000644989
12,104.897,0.86522,0.4935,0.98637,0.92336,0.90206,0.94686,0.69651,0.90982,0.47549,1.03798,0.000642788,0.000642788,0.000642788
13,139.72,0.85222,0.47533,0.97856,0.89644,0.90985,0.93925,0.6859,0.92774,0.47844,1.05382,0.000640587,0.000640587,0.000640587
14,174.455,0.83237,0.45989,0.9803,0.93473,0.90352,0.95045,0.70713,0.89251,0.45677,1.02773,0.000638386,0.000638386,0.000638386
15,210.257,0.82003,0.4502,0.96473,0.91092,0.88483,0.94483,0.69391,0.92845,0.47375,1.04916,0.000636185,0.000636185,0.000636185
16,245.369,0.80767,0.43405,0.96655,0.90965,0.89779,0.94339,0.68977,0.92732,0.46838,1.05036,0.000633983,0.000633983,0.000633983
17,279.977,0.79702,0.43262,0.95728,0.93108,0.91007,0.95095,0.7151,0.89142,0.44462,1.03561,0.000631782,0.000631782,0.000631782
18,315.093,0.80309,0.42922,0.95556,0.92238,0.91439,0.95357,0.71164,0.87323,0.43034,1.02892,0.000629581,0.000629581,0.000629581
19,349.95,0.80671,0.43316,0.96188,0.94362,0.90733,0.96166,0.72565,0.86707,0.42391,1.02497,0.00062738,0.00062738,0.00062738
20,384.764,0.79466,0.4271,0.95542,0.93297,0.92125,0.95644,0.7111,0.89492,0.43801,1.03535,0.000625179,0.000625179,0.000625179
21,419.667,0.80703,0.43304,0.9673,0.93259,0.91491,0.95748,0.72108,0.85493,0.42498,1.01667,0.000622978,0.000622978,0.000622978
22,455.008,0.79327,0.4237,0.95582,0.92302,0.91378,0.95259,0.72225,0.85326,0.42674,1.0156,0.000620777,0.000620777,0.000620777
23,490.122,0.77464,0.41756,0.94681,0.91514,0.9066,0.95106,0.72099,0.84746,0.43055,1.01303,0.000618576,0.000618576,0.000618576
24,524.869,0.77839,0.42149,0.95174,0.93685,0.90949,0.95868,0.72329,0.86752,0.43647,1.02174,0.000616375,0.000616375,0.000616375
25,560.314,0.78164,0.41626,0.95235,0.9335,0.91896,0.95412,0.71563,0.88063,0.43271,1.0275,0.000614174,0.000614174,0.000614174
26,595.552,0.77049,0.41113,0.94437,0.91768,0.92067,0.95862,0.73044,0.8543,0.41761,1.01694,0.000611972,0.000611972,0.000611972
27,630.301,0.77642,0.40506,0.95136,0.94362,0.91065,0.96357,0.7398,0.83418,0.40427,1.00917,0.000609771,0.000609771,0.000609771
28,665.279,0.7585,0.40366,0.94275,0.92114,0.91932,0.96098,0.73122,0.84875,0.41951,1.01452,0.00060757,0.00060757,0.00060757
29,700.387,0.75301,0.39077,0.93635,0.93101,0.92749,0.9617,0.73921,0.82594,0.40258,1.00744,0.000605369,0.000605369,0.000605369
30,735.158,0.75225,0.40004,0.93856,0.94128,0.91617,0.96072,0.73502,0.83023,0.41196,1.00925,0.000603168,0.000603168,0.000603168
31,770.027,0.75117,0.39699,0.93937,0.93036,0.90966,0.95514,0.73432,0.8366,0.41581,1.00758,0.000600967,0.000600967,0.000600967
32,805.276,0.74207,0.38682,0.93321,0.95466,0.91458,0.96204,0.73857,0.83757,0.40376,1.01015,0.000598766,0.000598766,0.000598766
33,840.405,0.7329,0.37962,0.92632,0.92167,0.9299,0.95769,0.73713,0.82746,0.41123,1.00621,0.000596565,0.000596565,0.000596565
34,875.134,0.72274,0.37409,0.92719,0.93881,0.91445,0.96247,0.73657,0.86105,0.41074,1.01461,0.000594364,0.000594364,0.000594364
35,910.265,0.72937,0.3791,0.92921,0.94824,0.89891,0.95238,0.72546,0.85592,0.41655,1.01611,0.000592163,0.000592163,0.000592163
36,946.031,0.69698,0.36757,0.91226,0.93096,0.91488,0.95687,0.74815,0.80477,0.39497,0.9989,0.000589961,0.000589961,0.000589961
37,980.944,0.70872,0.3761,0.92338,0.93837,0.92124,0.96086,0.74193,0.82403,0.40782,1.00445,0.00058776,0.00058776,0.00058776
38,1015.52,0.69564,0.36475,0.91327,0.93533,0.91577,0.96043,0.74227,0.8106,0.40088,0.99992,0.000585559,0.000585559,0.000585559
39,1050.54,0.71317,0.37587,0.92,0.93505,0.92298,0.96098,0.74519,0.80551,0.39169,0.99852,0.000583358,0.000583358,0.000583358
40,1085.36,0.6892,0.36149,0.91,0.93586,0.9248,0.96208,0.75118,0.80298,0.39381,1.00161,0.000581157,0.000581157,0.000581157
41,1120.31,0.68721,0.35645,0.91432,0.93157,0.91623,0.9579,0.73472,0.83997,0.4036,1.01801,0.000578956,0.000578956,0.000578956
42,1155.41,0.68728,0.35876,0.91599,0.93347,0.91812,0.95963,0.74695,0.81144,0.39242,1.00608,0.000576755,0.000576755,0.000576755
43,1190.71,0.67321,0.3509,0.90898,0.93129,0.91131,0.95623,0.73747,0.8306,0.41684,1.00904,0.000574554,0.000574554,0.000574554
44,1225.56,0.67329,0.35321,0.90825,0.94988,0.92666,0.96323,0.75149,0.81504,0.39494,1.00557,0.000572353,0.000572353,0.000572353
45,1260.66,0.68174,0.35751,0.91179,0.94406,0.90123,0.95752,0.74198,0.82415,0.39947,1.00987,0.000570152,0.000570152,0.000570152
46,1296.26,0.66891,0.34575,0.90222,0.93143,0.92786,0.95895,0.74892,0.7985,0.39127,1.002,0.00056795,0.00056795,0.00056795
47,1331.21,0.6593,0.34385,0.90085,0.92131,0.91143,0.95537,0.74885,0.7983,0.42223,1.00092,0.000565749,0.000565749,0.000565749
48,1365.85,0.65411,0.34546,0.90284,0.93106,0.91591,0.95974,0.74592,0.81488,0.40116,1.00692,0.000563548,0.000563548,0.000563548
48,34.6449,0.80067,0.89499,1.02759,0.93035,0.92557,0.95744,0.72884,0.80217,0.50411,1.00701,0.000563548,0.000563548,0.000563548
49,35.1065,0.65789,0.5917,0.9198,0.93437,0.92087,0.95985,0.74068,0.79487,0.46216,1.01039,0.000561347,0.000561347,0.000561347
50,70.1102,0.65871,0.38515,0.90918,0.95017,0.91404,0.96121,0.73793,0.8044,0.41986,1.00773,0.000559146,0.000559146,0.000559146
51,105.104,0.64717,0.35871,0.89975,0.93547,0.9113,0.95948,0.73425,0.81638,0.41081,1.00686,0.000556945,0.000556945,0.000556945
52,140.17,0.63886,0.344,0.89463,0.94142,0.9091,0.95921,0.74336,0.8086,0.40193,1.00243,0.000554744,0.000554744,0.000554744
53,175.039,0.64136,0.33919,0.90017,0.94477,0.90723,0.96094,0.74635,0.80938,0.40417,1.00314,0.000552543,0.000552543,0.000552543
54,209.887,0.61484,0.32987,0.88418,0.94074,0.91763,0.9613,0.75142,0.78984,0.39869,1.00065,0.000550342,0.000550342,0.000550342
55,245.653,0.6034,0.31837,0.88761,0.9354,0.90873,0.95676,0.74845,0.8015,0.40249,1.01296,0.000548141,0.000548141,0.000548141
56,280.668,0.62815,0.32794,0.89042,0.9446,0.92189,0.96177,0.75394,0.80938,0.39255,1.00571,0.00054594,0.00054594,0.00054594
57,315.692,0.61821,0.32357,0.88571,0.946,0.91779,0.96485,0.75701,0.78903,0.37909,1.00219,0.000543738,0.000543738,0.000543738
58,350.607,0.60133,0.31773,0.88145,0.94271,0.90999,0.95903,0.75021,0.79516,0.39248,1.00245,0.000541537,0.000541537,0.000541537
59,385.424,0.60412,0.31974,0.88227,0.92213,0.91189,0.95484,0.74838,0.80082,0.40478,1.00506,0.000539336,0.000539336,0.000539336
60,420.204,0.61564,0.32172,0.88936,0.93718,0.92572,0.96258,0.76513,0.7754,0.3808,0.99387,0.000537135,0.000537135,0.000537135
61,455.243,0.60272,0.3165,0.88106,0.94476,0.92378,0.96173,0.75794,0.79046,0.38605,0.999,0.000534934,0.000534934,0.000534934
62,490.475,0.59301,0.312,0.87655,0.94622,0.9265,0.96306,0.75632,0.7951,0.37652,1.00481,0.000532733,0.000532733,0.000532733
63,525.352,0.59857,0.31712,0.88257,0.92991,0.93472,0.96388,0.76197,0.78496,0.37423,0.99803,0.000530532,0.000530532,0.000530532
64,560.398,0.60326,0.31475,0.88368,0.91772,0.94501,0.96262,0.75127,0.81268,0.38411,1.01434,0.000528331,0.000528331,0.000528331
65,595.791,0.5916,0.31122,0.87575,0.94505,0.91815,0.96341,0.76436,0.77494,0.37828,1.00174,0.00052613,0.00052613,0.00052613
66,630.85,0.59208,0.30437,0.8815,0.93259,0.91815,0.96009,0.75409,0.80501,0.39235,1.00901,0.000523928,0.000523928,0.000523928
67,665.856,0.58762,0.30581,0.87787,0.93553,0.92164,0.96173,0.75765,0.79178,0.38287,0.99987,0.000521727,0.000521727,0.000521727
68,700.794,0.57945,0.30156,0.87145,0.93451,0.92728,0.96236,0.75743,0.79644,0.38885,1.00417,0.000519526,0.000519526,0.000519526
69,735.959,0.59249,0.30921,0.87651,0.93689,0.92594,0.95937,0.76403,0.76936,0.37846,0.99064,0.000517325,0.000517325,0.000517325
